"u,N,18,0","v,N,18,0","name,C,80"
1198315913,1264335890,Calle Jacinto Ibanez
1198315913,2087449445,Avenida Miguel Forga
1198315916,1198315928,
1198315916,2087471706,Avenida Arturo Ibanez
1198315916,7567888648,
1198315928,1264336087,
1198315931,5391078156,
1198315932,7105677075,Avenida Alfonso Ugarte
1198315932,1264343694,
1198315932,7154758745,Avenida Alfonso Ugarte
1198315949,8374968448,Avenida Miguel Forga
1198315949,2087471703,
1198315949,10904424559,Avenida Miguel Forga
1198315960,1264354492,Variante Uchumayo
1198315960,9331081991,Andia
1198315960,3609574261,"['Variante Uchumayo', 'Avenida Miguel Forga']"
1198453759,1198453785,Jose Maria Escriba
1198453759,5564783752,Avenida Alfonso Ugarte
1198453759,3946856632,Avenida Alfonso Ugarte
1198453785,5564783722,Jose Maria Escriba
1198453785,5485432509,Avenida Alfonso Ugarte
1198453785,5564783753,Avenida Alfonso Ugarte
1198729212,11002060891,Calle Los Arrayanes
1198729212,11008090615,Calle Los Arrayanes
1252902836,5399052223,
1252902836,1264299808,
1252902836,1264286581,
1252903591,3946746980,Avenida Virgen del Pilar
1252903591,5393843687,
1252903591,4232782266,Avenida Virgen del Pilar
1252906565,1264346470,Calle la Merced
1252906565,11068021146,Calle Palacio Viejo
1252906565,1253008354,Calle la Merced
1252906565,5203304828,Calle Palacio Viejo
1252908763,1252999279,Lazo de los Rios
1252908763,1396135803,Lavalle
1252908763,1396138602,Lazo de los Rios
1252909280,11009101041,
1252909280,11016609802,Calle Alcides Carrion
1252909280,11009101042,Calle Alcides Carrion
1252911231,11014861193,Arias Rodriguez
1252911231,4941438677,Avenida Alfonso Ugarte
1252914267,1264320225,Calle Peru
1252914267,1264330973,Calle 2 de Mayo
1252914267,1252983988,Calle 2 de Mayo
1252914267,4427910607,Calle Peru
1252914298,1252938327,
1252917034,1264347406,Calle Villalba
1252917034,4055452455,Calle Moral
1252917034,1264316137,Calle Villalba
1252917034,1264342650,Calle Moral
1252918191,5375734630,Estadium
1252918191,5375734634,
1252918191,1264284197,Avenida Garcia de Carbajal
1252918191,1264354708,Avenida Garcia de Carbajal
1252919040,1252991786,
1252919106,6399546649,
1252919106,1264366433,Gustavo Cornejo
1252919106,4544102105,
1252919791,1264342953,Urbanizacion los Rosales
1252919791,1264313779,Avenida Dolores
1252919791,7567879881,Avenida Dolores
1252921146,11068021154,Calle Alvarez Thomas
1252921146,2905764708,Calle Palacio Viejo
1252921146,1264359790,Calle Alvarez Thomas
1252921146,4351945580,Calle Palacio Viejo
1252922332,6734034534,Calle San Pedro
1252922332,1264288209,Calle Mariano Melgar
1252922332,5380727089,Calle Mariano Melgar
1252922332,5432125026,Calle San Pedro
1252923627,7567525362,
1252923627,4067074144,
1252923627,4742367929,Avenida Venezuela
1252923874,1264291431,Avenida Lima
1252923874,4209897889,
1252923874,1264336110,Pasaje V. Hugo
1252923874,1252980613,Avenida Lima
1252927980,1252993739,Calle los Rosales
1252927980,1264367295,Calle los Rosales
1252927980,1264315042,Los Rosales
1252928877,1264319696,Naranjos
1252928877,5533915111,Naranjos
1252928877,1264347106,
1252929363,5437797052,Avenida Francisco Bolognesi
1252929363,5437797051,Avenida Francisco Bolognesi
1252929676,5485427334,Avenida Metropolitana
1252929676,1264343386,Avenida Metropolitana
1252929676,5199090488,
1252929676,2084840259,Avenida Metropolitana
1252930652,5431394366,Calle Los Arrayanes
1252930652,5199090501,Calle Los Arrayanes
1252930652,2087388631,
1252931128,5199090493,Avenida San Jeronimo
1252931128,1264357639,
1252931128,1264315137,Avenida San Jeronimo
1252931258,5479090199,Calle Javier Delgado
1252931258,5208920205,Juana Espinoza
1252931258,1264309256,Juana Espinoza
1252931258,5123160480,Calle Javier Delgado
1252931298,11014092398,Avenida Daniel Alcides Carrion
1252931298,11013404107,
1252931298,2363776269,Avenida Daniel Alcides Carrion
1252931298,5103848932,
1252936815,1264286536,Avenida Garaycochea
1252936815,8734566562,
1252936815,1253035395,Avenida Garaycochea
1252937878,4096510447,Calle Malecon Socabaya
1252937878,5391108752,Calle Agricultura
1252937878,4096510448,Calle Malecon Socabaya
1252938065,1264288206,Calle Manuel Munoz Najar
1252938065,4733264261,Calle Manuel Munoz Najar
1252938065,1264347448,Avenida Goyeneche
1252938327,1264285300,
1252938327,5213418017,
1252938522,1264327617,Toribio Pacheco
1252938522,5391127543,Toribio Pacheco
1252938522,1264290171,Avenida Lima
1252941623,1252984299,Calle Consuelo
1252941623,4197570339,
1252941623,1264359327,Calle Consuelo
1252947417,5750156950,Calle Gutierrez de la Fuente
1252947417,1264366462,Ovalo Gutierrez
1252947417,5393862393,Calle Gutierrez de la Fuente
1252947852,1264285671,Calle 28 de Julio
1252947852,4324703397,
1252947852,1264295740,Paz Soldan
1252947886,5391078165,
1252947886,5391078162,
1252947886,9331081995,
1252948881,4351915465,
1252948881,5375734003,
1252948881,5391127529,Luna Pizarro
1252953912,3946659354,
1252953912,1264318652,Siglo XX
1252953912,4051788314,Siglo XX
1252955837,1264339903,Avenida los Incas
1252955837,1252993739,Calle los Rosales
1252955837,1264325468,Avenida los Incas
1252967044,5394916329,Calle Mollendo
1252967044,11090425225,Avenida Jorge Chavez
1252967044,4444938285,Rosales
1252967044,1264289932,Avenida Jorge Chavez
1252969336,5381363058,Calle D
1252969336,1253002760,Calle D
1252969336,1264281868,Calle Alberto Guillen
1252971270,1264335571,Calle Ventura Mojarras
1252971270,1264294330,Calle Ventura Mojarras
1252971270,5200708664,Avenida Venezuela
1252971270,5485263384,Avenida Venezuela
1252973382,5432072890,Avenida Mariscal Castilla
1252973382,5473715304,Avenida Mariscal Castilla
1252973382,5473715305,Pasaje Teniente Palacios
1252975023,10923437082,Pasaje Francisco Miranda
1252976709,5092538916,
1252976709,5401379230,
1252976709,5092538914,
1252980613,1253032353,Jiron Marsella
1252980613,5391127552,Avenida Lima
1252983486,1264315449,Calle Mariano Trinidad Docarmo
1252983486,1264309265,Calle Mariano Trinidad Docarmo
1252983486,4110722310,
1252983486,4110722309,
1252983988,5381354364,Calle Nicolas de Pierola
1252983988,5777920044,Calle Nicolas de Pierola
1252984299,5424521143,Calle Las Mecedes
1252986345,10780714921,
1252986345,4020778164,Avenida Pedro P. Diaz
1252986345,11013403962,Avenida Pedro P. Diaz
1252986887,5379248705,
1252988417,5203439967,Calle Consuelo
1252988417,10923389495,Calle Sucre
1252988417,1252995416,Calle Sucre
1252988417,1264346470,Calle Consuelo
1252991786,5186757660,Avenida Garcilazo de la Vega
